年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2009,Ｊ２,第２９節第１日,07/22(水),19:05,富山,0-0,札幌,0,0,0,△,富山,"3,008",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３０節第１日,07/25(土),14:03,札幌,4-2,岡山,4,2,1,〇,札幌厚別,"5,742",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３１節第２日,08/02(日),18:04,Ｃ大阪,3-0,札幌,3,0,1,●,長居,"16,575",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第３２節第１日,08/05(水),19:03,札幌,3-0,福岡,3,0,1,〇,札幌厚別,"7,188",スカパースカチャン／ｅ２スカチャンＨＤ,3
2009,Ｊ２,第３３節第１日,08/09(日),18:03,東京Ｖ,1-2,札幌,1,2,2,〇,味スタ,"6,591",スカパースカチャン／ｅ２スカチャン／日本テレビ（録）,3
2009,Ｊ２,第３４節第２日,08/16(日),18:04,岐阜,0-2,札幌,0,2,2,〇,長良川,"4,070",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３５節第１日,08/22(土),14:04,札幌,3-3,鳥栖,3,3,0,△,札幌ド,"17,292",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３６節第２日,08/30(日),18:04,草津,2-5,札幌,2,5,2,〇,正田スタ,"3,680",スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）,3
2009,Ｊ２,第３７節第１日,09/02(水),19:03,札幌,1-1,水戸,1,1,0,△,札幌厚別,"7,042",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第３８節第１日,09/06(日),14:03,札幌,3-2,愛媛,3,2,1,〇,札幌厚別,"7,613",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第３９節第２日,09/13(日),16:03,甲府,2-1,札幌,2,1,1,●,小瀬,"11,553",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第４０節第２日,09/20(日),13:03,札幌,1-0,福岡,1,0,1,〇,室蘭,"5,824",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第４１節第１日,09/23(水・祝),19:03,岡山,0-1,札幌,0,1,2,〇,岡山,"8,367",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第４２節第２日,09/27(日),13:05,札幌,2-0,湘南,2,0,1,〇,札幌厚別,"8,935",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,3
