年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2009,Ｊ２,第２２節第２日,06/21(日),16:03,湘南,3-2,札幌,3,2,1,●,平塚,"9,374",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第２３節第１日,06/24(水),19:03,札幌,1-1,横浜FC,1,1,0,△,札幌厚別,"7,266",スカパースカチャン／ｅ２スカチャンＨＤ,1
2009,Ｊ２,第２４節第１日,06/27(土),13:04,仙台,1-1,札幌,1,1,0,△,宮城ス,"17,983",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第４３節第２日,10/04(日),13:03,熊本,0-0,札幌,0,0,0,△,熊本,"4,140",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第４４節第１日,10/07(水),19:04,札幌,0-1,Ｃ大阪,0,1,2,●,札幌厚別,"7,035",スカパースカチャン／ｅ２スカチャン,0
2009,Ｊ２,第４５節第１日,10/17(土),14:05,徳島,3-0,札幌,3,0,1,●,鳴門大塚,"4,096",スカパースカチャン／ｅ２スカチャン／ＮＨＫ徳島,0
2009,Ｊ２,第４６節第１日,10/21(水),19:03,札幌,1-0,栃木,1,0,1,〇,札幌厚別,"5,112",スカパースカチャン／ｅ２スカチャンＨＤ,3
2009,Ｊ２,第４７節第２日,10/25(日),12:34,仙台,1-0,札幌,1,0,1,●,ユアスタ,"16,515",スカパースカチャン／ｅ２スカチャンＨＤ／仙台放送,0
2009,Ｊ２,第４８節第１日,11/08(日),12:33,札幌,1-1,富山,1,1,0,△,札幌厚別,"6,843",スカパースカチャン／ｅ２スカチャン,1
2009,Ｊ２,第４９節第２日,11/22(日),16:03,岐阜,2-4,札幌,2,4,2,〇,長良川,"7,843",スカパースカチャン／ｅ２スカチャン,3
2009,Ｊ２,第５０節第２日,11/29(日),13:04,札幌,3-1,横浜FC,3,1,1,〇,札幌ド,"21,463",スカパースカチャン／ｅ２スカチャンＨＤ,3
2009,Ｊ２,第５１節第１日,12/05(土),12:33,東京Ｖ,2-2,札幌,2,2,0,△,味スタ,"7,560",スカパースカチャン／ｅ２スカチャン／日本テレビ（録）,1
2010,Ｊ２,第１節第２日,03/07(日),15:03,鳥栖,1-1,札幌,1,1,0,△,ベアスタ,"8,971",スカパースカチャン／ｅ２スカチャン／ＮＨＫ佐賀,1
2010,Ｊ２,第２節第１日,03/13(土),16:04,札幌,0-3,福岡,0,3,2,●,札幌ド,"21,071",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌／ＮＨＫ福岡,0
2010,Ｊ２,第３節第２日,03/21(日・祝),13:03,栃木,0-1,札幌,0,1,2,〇,栃木グ,"4,752",スカパースカチャン／ｅ２スカチャン／とちぎテレビ（録）,3
2010,Ｊ２,第４節第２日,03/28(日),13:03,札幌,2-0,岡山,2,0,1,〇,札幌ド,"11,805",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第５節第２日,04/04(日),13:03,岐阜,3-0,札幌,3,0,1,●,長良川,"5,133",スカパースカチャン／ｅ２スカチャン／ＮＨＫ岐阜,0
2010,Ｊ２,第６節第２日,04/11(日),13:04,札幌,1-1,柏,1,1,0,△,札幌ド,"13,002",スカパースカチャン／ｅ２スカチャン／北海道文化放送,1
2010,Ｊ２,第８節第２日,04/25(日),13:03,札幌,1-2,水戸,1,2,2,●,札幌ド,"11,430",スカパースカチャン／ｅ２スカチャン／札幌テレビ,0
2010,Ｊ２,第９節第１日,04/29(木・祝),15:00,甲府,4-1,札幌,4,1,1,●,小瀬,"11,779",スカパースカチャン／ｅ２スカチャン／山梨放送,0
2010,Ｊ２,第１０節第１日,05/02(日),13:04,熊本,0-0,札幌,0,0,0,△,水前寺,"6,806",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第１１節第１日,05/05(水・祝),14:04,札幌,0-0,東京Ｖ,0,0,0,△,札幌ド,"13,268",スカパースカチャン／ｅ２スカチャン／ＮＨＫ札幌,1
2010,Ｊ２,第１２節第２日,05/09(日),14:03,北九州,0-1,札幌,0,1,2,〇,本城,"4,061",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第１３節第２日,05/16(日),13:03,札幌,2-2,大分,2,2,0,△,室蘭,"7,208",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第１４節第１日,05/22(土),14:04,徳島,0-0,札幌,0,0,0,△,鳴門大塚,"4,363",スカパースカチャン／ｅ２スカチャン／ＮＨＫ徳島,1
2010,Ｊ２,第１５節第２日,05/30(日),13:03,札幌,3-1,富山,3,1,1,〇,札幌厚別,"7,614",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第１６節第１日,06/05(土),13:04,草津,1-1,札幌,1,1,0,△,正田スタ,"9,382",スカパースカチャン／ｅ２スカチャン／群馬テレビ（録）,1
2010,Ｊ２,第１７節第２日,06/13(日),13:03,札幌,2-2,愛媛,2,2,0,△,函館,"6,967",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第３０節第１日,10/16(土),13:03,札幌,1-1,甲府,1,1,0,△,札幌厚別,"6,010",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第３１節第２日,10/24(日),13:04,富山,0-2,札幌,0,2,2,〇,富山,"8,412",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第３２節第２日,10/31(日),13:03,札幌,0-1,草津,0,1,2,●,札幌厚別,"5,731",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第３３節第２日,11/07(日),16:03,札幌,1-0,千葉,1,0,1,〇,札幌ド,"12,656",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第３４節第１日,11/14(日),17:04,水戸,1-1,札幌,1,1,0,△,Ｋｓスタ,"3,056",スカパースカチャン／ｅ２スカチャン／ＮＨＫ水戸＊,1
